ID,SPNAME,COLLID,ELAPS_TIME,CPU_TIME,SUSPEND,LOCK_LATCH,SYNCIO,SQL_STMT_AVG,CP_CPU_SU,SQL_STMT_TOTAL,OCCUR,DATE,VER,SP_OK
SP01,EGNRSTL3,CORPK002,23.515637,22.614867,0.150976,0.002158,0.032296,5,617470,5,1,20200905,221320,0
SP02,EGCFLAR4,CORPK002,22.606303,16.076845,5.891507,0.004356,0.609691,9.91,438957.69,1120,113,20200905,221320,0
SP03,EGFCHTR1,CORPK009,12.246905,2.466829,9.798448,0.000468,0.023706,10.62,67353.14,223,21,20200905,221320,0
SP04,EGPCUIQ1,CORPK002,4.51883,1.498921,3.031019,0.000193,0.411068,3,40925.75,12,4,20200905,221320,0
SP05,EGABFRG1,CORPK001,1.209908,1.147746,0.000158,0.000022,0,1.28,31337.28,2646,2067,20200905,221320,0
SP06,EGHREQU2,CORPK003,2.702722,1.083345,1.58543,0.00026,0.153193,2.2,29578.73,33,15,20200905,221320,0
SP07,EGKSRPA1,CORPK002,1.128742,1.07782,0.00013,0.000129,0,4,29428.03,11384,2846,20200905,221320,0
SP08,EGFPEST2,CORPK009,1.161992,0.791963,0.354374,0.000434,0.123613,11,21623,55,5,20200905,221320,0
SP09,EGSACRD1,CORPK005,1.20324,0.567246,0.629384,0.00026,0.006337,4.59,15487.43,1280,279,20200905,221320,0
SP10,EGSCHQR1,CORPK005,1.261709,0.561917,0.68512,0.000227,0.003976,4.37,15341.9,271,62,20200905,221320,0
SP11,EGKSRPB1,CORPK002,0.556799,0.525517,0.000359,0.000211,0.000001,11,14348.08,63382,5762,20200905,221320,0
SP12,EGADELI5,CORPK002,16.779128,0.396079,16.517861,0.000139,16.288511,4.84,10813.96,218,45,20200905,221320,0
SP13,EGNMAHD1,CORPK001,1.775647,0.356819,1.419573,0.000052,0.019474,1,9742.25,4,4,20200905,221320,0
SP14,EGDMCHK1,CORPK003,3.167873,0.275694,2.900563,0.000753,1.576662,5,7527,20,4,20200905,221320,0
SP15,EGDOCUB1,CORPK003,0.330728,0.274317,0.044173,0.000006,0.000688,4,7489.38,52,13,20200905,221320,0
SP16,EGDRBIL1,CORPK003,3.286118,0.256379,3.043765,0.000075,3.028938,2.48,6999.61,109,44,20200905,221320,0
SP17,EGDINQU1,CORPK003,0.939264,0.206665,0.733927,0.000359,0.073055,2.8,5642.27,42,15,20200905,221320,0
SP18,EGITWRN1,CORPK008,2.377314,0.19057,2.221351,0.000002,2.216188,7,5203,7,1,20200905,221320,0
SP19,EGKSRPC1,CORPK002,0.199978,0.19001,0.000201,0.000201,0,5,5187.49,14210,2842,20200905,221320,0
SP20,EGMOLAC1,CORPK005,0.192277,0.178944,0.000135,0.000033,0.000047,3,4885.33,135,45,20200905,221320,0
SP21,EGFAMAR1,CORPK009,0.334792,0.164419,0.170692,0,0.055101,3,4489,3,1,20200905,221320,0
SP22,EGSEDAC1,CORPK005,1.603724,0.162985,1.478745,0.000032,1.434474,5,4449.75,20,4,20200905,221320,0
SP23,EGNINTU1,CORPK002,0.164101,0.151121,0.001435,0.000002,0.00068,4,4125.6,100,25,20200905,221320,0
SP24,EGINACC1,CORPK008,19.176573,0.140543,19.038573,0.000221,1.976918,4.06,3836.81,130,32,20200905,221320,0
SP25,EGKSPCI1,CORPK002,0.105626,0.095786,0.005845,0.000118,0.000304,4,2614.82,11396,2849,20200905,221320,0
SP26,EGNTFDS3,CORPK002,0.086404,0.08305,0.000813,0.000103,0.000256,4,2267.08,100,25,20200905,221320,0
SP27,EGSGACP1,CORPK005,0.147217,0.072967,0.072638,0.000001,0.000185,1,1991.5,2,2,20200905,221320,0
SP28,EGESSTQ3,CORPK045,0.080867,0.067217,0.011376,0.000194,0.010947,3.72,1834.75,1037,279,20200905,221320,0
SP29,EGCTRNS2,CORPK007,2.242803,0.060354,2.18959,0.002994,1.195745,15.63,1647.41,89097,5699,20200905,221320,0
SP30,EGKPECK1,CORPK002,0.2233,0.057431,0.166189,0.000086,0.035525,3,1567.55,1062,354,20200905,221320,0
SP31,EGFPREQ2,CORPK009,0.093258,0.056453,0.03043,0.003927,0.000474,29.2,1540.87,2657,91,20200905,221320,0
SP32,EGIANAC1,CORPK008,0.1261,0.048822,0.074791,0.000125,0.074346,6.37,1332.59,446,70,20200905,221320,0
SP33,EGSGNJM1,CORPK005,0.554722,0.04677,0.516827,0,0.516827,5,1277,5,1,20200905,221320,0
SP34,EGMFCPY1,CORPK005,0.917086,0.046391,0.876926,0.000848,0.873681,3.41,1266.14,242,71,20200905,221320,0
SP35,EGNFTPC1,CORPK002,0.055307,0.043793,0.01019,0.00038,0.004454,9,1195.19,1854,206,20200905,221320,0
SP36,EGSPBCT1,CORPK005,0.044972,0.0404,0.00055,0.000173,0,5,1102.43,35,7,20200905,221320,0
SP37,EGKRQST4,CORPK002,1.018328,0.037576,0.982797,0.000111,0.483608,7,1025.45,203,29,20200905,221320,0
SP38,EGHISMS1,CORPK003,0.035444,0.03388,0.000427,0.000092,0.000017,3,924.55,1314,438,20200905,221320,1
SP39,EGARETO1,CORPK001,0.063676,0.029953,0.032659,0.000075,0.007143,9,817.46,117,13,20200905,221320,1
SP40,EGHNODA1,CORPK003,0.378113,0.02931,0.350295,0.000046,0.098045,3,799.74,57,19,20200905,221320,1
SP41,EGNSTLM2,CORPK002,0.113333,0.029282,0.085356,0.001363,0.028015,29,799,87,3,20200905,221320,1
SP42,EGLACCT4,CORPK034,0.027051,0.024767,0.001903,0.00115,0.000754,199,675.89,1791,9,20200905,221320,1
SP43,EGDCHDT1,CORPK003,0.104258,0.022137,0.081913,0.000024,0,4,603.86,28,7,20200905,221320,1
SP44,EGRPDCI1,CORPK007,1.614101,0.021302,1.599136,0.000215,0.91171,1,581,1,1,20200905,221320,1
SP45,EGASREQ3,CORPK001,0.102587,0.020537,0.079465,0.000514,0.049162,4,560.38,32,8,20200905,221320,1
SP46,EGATMLS2,CORPK004,0.022434,0.020357,0.00171,0.000028,0.000996,3,555.31,5826,1940,20200905,221320,1
SP47,EGADTRN1,CORPK001,0.220978,0.017019,0.204517,0.002099,0.129456,7,464.33,21,3,20200905,221320,1
SP48,EGSWODT1,CORPK005,0.044399,0.015132,0.029204,0.00023,0.009288,6,412.57,42,7,20200905,221320,1
SP49,EGLIPAY2,CORPK008,0.015849,0.015073,0.000425,0.00019,0.000015,14.03,411.06,33458,2384,20200905,221320,1
SP50,EGPSWRP1,CORPK006,0.133633,0.01462,0.119325,0.000083,0.019417,4.8,398.8,24,5,20200905,221320,1
SP51,EGSLOCA1,CORPK005,0.601806,0.014584,0.589092,0.000017,0.585816,5.15,397.77,67,13,20200905,221320,1
SP52,EGSBNPD1,CORPK006,0.027214,0.013106,0.013979,0,0.004039,8,357,16,2,20200905,221320,1
SP53,EGPOSFA5,CORPK004,0.014272,0.010885,0.00266,0.000123,0.001924,9.91,296.71,6600,666,20200905,221320,1
SP54,EGNBDER2,CORPK002,0.059476,0.010724,0.049707,0.000021,0.034162,3,292.26,57,19,20200905,221320,1
SP55,EGKHPRE2,CORPK001,0.011993,0.010401,0.001321,0.000285,0.000887,6.25,283.47,8008,1282,20200905,221320,1
SP56,EGAFRBR2,CORPK002,0.06738,0.007721,0.059659,0.000005,0.003839,3.01,210.29,229,76,20200905,221320,1
SP57,EGBCINV4,CORPK008,0.491796,0.007162,0.484658,0.000382,0.016656,13.36,195.04,6065,454,20200905,221320,1
SP58,EGSTSFT1,CORPK005,0.027543,0.006352,0.021165,0.000049,0.011365,5.18,172.97,171,33,20200905,221320,1
SP59,EGSGRFP1,CORPK005,0.030803,0.006213,0.024679,0.000006,0.008512,3.5,169,14,4,20200905,221320,1
SP60,EGOBILL1,CORPK009,0.015501,0.006104,0.009382,0.000257,0.008515,13.96,166.18,2038,146,20200905,221320,1
SP61,EGRTVDF3,CORPK008,0.193782,0.005868,0.187929,0.000179,0.00136,6,159.71,15372,2563,20200905,221320,1
SP62,EGSFCPY1,CORPK005,0.621424,0.005628,35.726502,0.000833,2.756521,1.32,153.53,528,98,20200905,221320,1
SP63,EGRBCIF1,CORPK008,0.357962,0.005529,0.351651,0.000003,0.179726,3,150.57,21,7,20200905,221320,1
SP64,EGNSINV2,CORPK001,0.328611,0.005458,0.323646,0.000406,0.133192,22.34,148.54,418445,18727,20200905,221320,1
SP65,EGIRPTR1,CORPK008,0.441515,0.005347,0.437568,0.00001,0.398317,3,145.52,93,31,20200905,221320,1
SP66,EGREACH2,CORPK002,0.039056,0.004931,0.034535,0.000302,0.017991,8,134.13,64,8,20200905,221320,1
SP67,EGKSRPD2,CORPK002,0.005402,0.004707,0.000575,0.000077,0.000007,4,128.02,11384,2846,20200905,221320,1
SP68,EGHFDLN1,CORPK003,0.049775,0.004554,0.045112,0.000098,0.031288,7,123.75,56,8,20200905,221320,1
SP69,EGSCASR1,CORPK005,0.012332,0.004544,0.000197,0.000148,0.000049,5,123.55,100,20,20200905,221320,1
SP70,EGSOBWO1,CORPK005,0.010758,0.004353,0.006441,0.000038,0.004468,4,118.14,28,7,20200905,221320,1
SP71,EGFRCHT1,CORPK009,0.291082,0.004339,0.287662,0.000037,0.286896,3.5,118.06,56,16,20200905,221320,1
SP72,EGAPINO2,CORPK002,0.020899,0.004328,0.016615,0.000354,0.012263,26.68,117.67,22305,836,20200905,221320,1
SP73,EGCUSTS3,CORPK006,0.057436,0.004302,0.053246,0.000493,0.051423,16.5,116.96,11767,713,20200905,221320,1
SP74,EGSCHMA1,CORPK005,0.014515,0.004259,0.006477,0.000062,0.004317,4,115.8,240,60,20200905,221320,1
SP75,EGKCRDR2,CORPK002,0.650336,0.004044,0.646485,0.000102,0.00628,5.78,109.98,283,49,20200905,221320,1
SP76,EGIAINF3,CORPK034,0.034312,0.003923,0.030443,0.000411,0.029858,14,106.63,224,16,20200905,221320,1
SP77,EGPOSFA4,CORPK004,0.006571,0.003821,0.0026,0.000146,0.002026,9.97,103.81,14031,1407,20200905,221320,1
